State,Sector,Claim_Type,Confidence_Score,If_predict
PA,23,initial,,False
PA,31,initial,,False
PA,42,initial,,False
PA,44,initial,,False
PA,48,initial,,False
PA,51,initial,,False
PA,52,initial,,False
PA,53,initial,,False
PA,54,initial,,False
PA,56,initial,,False
PA,61,initial,,False
PA,62,initial,,False
PA,71,initial,,False
PA,72,initial,,False
PA,81,initial,,False
PA,92,initial,,False
RI,11,initial,,False
RI,21,initial,,False
RI,22,initial,,False
RI,23,initial,,False
RI,31,initial,,False
RI,42,initial,,False
RI,44,initial,,False
RI,48,initial,,False
RI,51,initial,,False
RI,52,initial,,False
RI,53,initial,,False
RI,54,initial,,False
RI,56,initial,,False
RI,61,initial,,False
RI,62,initial,,False
RI,71,initial,,False
RI,72,initial,,False
RI,81,initial,,False
RI,92,initial,,False
SC,11,initial,0.895,True
SC,21,initial,0.617,True
SC,22,initial,0.419,True
SC,23,initial,0.55,True
SC,31,initial,0.661,True
SC,42,initial,0.513,True
SC,44,initial,0.48,True
SC,48,initial,0.691,True
SC,51,initial,0.473,True
SC,52,initial,0.591,True
SC,53,initial,0.309,True
SC,54,initial,0.473,True
SC,56,initial,0.33,True
SC,61,initial,0.587,True
SC,62,initial,0.48,True
SC,71,initial,0.514,True
SC,72,initial,0.271,True
SC,81,initial,0.943,True
SC,92,initial,0.398,True
SD,11,initial,0.257,True
SD,21,initial,0.659,True
SD,22,initial,0.277,True
SD,23,initial,0.65,True
SD,31,initial,0.889,True
SD,42,initial,0.291,True
SD,44,initial,0.582,True
SD,48,initial,0.835,True
SD,51,initial,0.417,True
SD,52,initial,0.342,True
SD,53,initial,0.291,True
SD,54,initial,0.737,True
SD,56,initial,0.784,True
SD,61,initial,0.549,True
SD,62,initial,0.494,True
SD,71,initial,0.939,True
SD,72,initial,0.424,True
SD,81,initial,0.81,True
SD,92,initial,0.816,True
TN,11,initial,0.567,True
TN,21,initial,0.799,True
TN,22,initial,0.479,True
TN,23,initial,0.882,True
TN,31,initial,0.772,True
TN,42,initial,0.686,True
TN,44,initial,0.838,True
TN,48,initial,0.722,True
TN,51,initial,0.856,True
TN,52,initial,0.497,True
TN,53,initial,0.512,True
TN,54,initial,0.911,True
TN,56,initial,0.555,True
TN,61,initial,0.468,True
TN,62,initial,0.815,True
TN,71,initial,0.497,True
TN,72,initial,0.543,True
TN,81,initial,0.648,True
TN,92,initial,0.312,True
TX,11,initial,0.839,True
TX,21,initial,0.678,True
TX,22,initial,0.283,True
TX,23,initial,0.316,True
TX,31,initial,0.456,True
TX,42,initial,0.551,True
TX,44,initial,0.811,True
TX,48,initial,0.81,True
TX,51,initial,0.768,True
TX,52,initial,0.761,True
TX,53,initial,0.608,True
TX,54,initial,0.311,True
TX,56,initial,0.495,True
TX,61,initial,0.771,True
TX,62,initial,0.268,True
TX,71,initial,0.419,True
TX,72,initial,0.262,True
TX,81,initial,0.478,True
TX,92,initial,0.477,True
UT,11,initial,,False
UT,21,initial,,False
UT,22,initial,,False
UT,23,initial,,False
UT,31,initial,,False
UT,42,initial,,False
UT,44,initial,,False
UT,48,initial,,False
UT,51,initial,,False
UT,52,initial,,False
UT,53,initial,,False
UT,54,initial,,False
UT,56,initial,,False
UT,61,initial,,False
UT,62,initial,,False
UT,71,initial,,False
UT,72,initial,,False
UT,81,initial,,False
UT,92,initial,,False
VT,11,initial,0.585,True
VT,21,initial,0.374,True
VT,22,initial,0.632,True
VT,23,initial,0.332,True
VT,31,initial,0.802,True
VT,42,initial,0.835,True
VT,44,initial,0.539,True
VT,48,initial,0.87,True
VT,51,initial,0.715,True
VT,52,initial,0.642,True
VT,53,initial,0.696,True
VT,54,initial,0.561,True
VT,56,initial,0.347,True
VT,61,initial,0.879,True
VT,62,initial,0.409,True
VT,71,initial,0.862,True
VT,72,initial,0.518,True
VT,81,initial,0.635,True
VT,92,initial,0.682,True
VA,11,initial,0.502,True
VA,21,initial,0.944,True
VA,22,initial,0.843,True
VA,23,initial,0.519,True
VA,31,initial,0.486,True
VA,42,initial,0.871,True
VA,44,initial,0.908,True
VA,48,initial,0.501,True
VA,51,initial,0.341,True
VA,52,initial,0.625,True
VA,53,initial,0.574,True
VA,54,initial,0.56,True
VA,56,initial,0.672,True
VA,61,initial,0.26,True
VA,62,initial,0.646,True
VA,71,initial,0.727,True
VA,72,initial,0.636,True
VA,81,initial,0.251,True
VA,92,initial,0.648,True
WA,11,initial,0.892,True
WA,21,initial,0.729,True
WA,22,initial,0.611,True
WA,23,initial,0.513,True
WA,31,initial,0.401,True
WA,42,initial,0.569,True
WA,44,initial,0.921,True
WA,48,initial,0.355,True
WA,51,initial,0.684,True
WA,52,initial,0.617,True
WA,53,initial,0.314,True
WA,54,initial,0.42,True
WA,56,initial,0.431,True
WA,61,initial,0.312,True
WA,62,initial,0.315,True
WA,71,initial,0.829,True
WA,72,initial,0.466,True
WA,81,initial,0.72,True
WA,92,initial,0.592,True
WV,11,initial,0.611,True
WV,21,initial,0.568,True
WV,22,initial,0.273,True
WV,23,initial,0.301,True
WV,31,initial,0.337,True
WV,42,initial,0.82,True
WV,44,initial,0.74,True
WV,48,initial,0.923,True
WV,51,initial,0.734,True
WV,52,initial,0.408,True
WV,53,initial,0.658,True
WV,54,initial,0.715,True
WV,56,initial,0.445,True
WV,61,initial,0.539,True
WV,62,initial,0.807,True
WV,71,initial,0.395,True
WV,72,initial,0.271,True
WV,81,initial,0.876,True
WV,92,initial,0.488,True
WI,11,initial,0.675,True
WI,21,initial,0.931,True
WI,22,initial,0.387,True
WI,23,initial,0.435,True
WI,31,initial,0.485,True
WI,42,initial,0.446,True
WI,44,initial,0.597,True
WI,48,initial,0.265,True
WI,51,initial,0.815,True
WI,52,initial,0.949,True
WI,53,initial,0.399,True
WI,54,initial,0.528,True
WI,56,initial,0.513,True
WI,61,initial,0.743,True
WI,62,initial,0.541,True
WI,71,initial,0.854,True
WI,72,initial,0.913,True
WI,81,initial,0.434,True
WI,92,initial,0.332,True
WY,11,initial,0.675,True
WY,21,initial,0.293,True
WY,22,initial,0.54,True
WY,23,initial,0.387,True
WY,31,initial,0.829,True
WY,42,initial,0.533,True
WY,44,initial,0.834,True
WY,48,initial,0.665,True
WY,51,initial,0.772,True
WY,52,initial,0.716,True
WY,53,initial,0.8,True
WY,54,initial,0.765,True
WY,56,initial,0.813,True
WY,61,initial,0.523,True
WY,62,initial,0.373,True
WY,71,initial,0.413,True
WY,72,initial,0.821,True
WY,81,initial,0.331,True
WY,92,initial,0.784,True
AL,11,continued,0.283,True
AL,21,continued,0.261,True
AL,22,continued,0.764,True
AL,23,continued,0.759,True
AL,31,continued,0.8,True
AL,42,continued,0.508,True
AL,44,continued,0.729,True
AL,48,continued,0.765,True
AL,51,continued,0.411,True
AL,52,continued,0.336,True
AL,53,continued,0.292,True
AL,54,continued,0.464,True
AL,56,continued,0.793,True
AL,61,continued,0.409,True
AL,62,continued,0.834,True
AL,71,continued,0.705,True
AL,72,continued,0.918,True
AL,81,continued,0.442,True
AL,92,continued,0.93,True
AK,11,continued,,False
AK,21,continued,,False
AK,22,continued,,False
AK,23,continued,,False
AK,31,continued,,False
AK,42,continued,,False
AK,44,continued,,False
AK,48,continued,,False
AK,51,continued,,False
AK,52,continued,,False
AK,53,continued,,False
AK,54,continued,,False
AK,56,continued,,False
AK,61,continued,,False
AK,62,continued,,False
AK,71,continued,,False
AK,72,continued,,False
AK,81,continued,,False
AK,92,continued,,False
AZ,11,continued,,False
AZ,21,continued,,False
AZ,22,continued,,False
AZ,23,continued,,False
AZ,31,continued,,False
AZ,42,continued,,False
AZ,44,continued,,False
AZ,48,continued,,False
AZ,51,continued,,False
AZ,52,continued,,False
AZ,53,continued,,False
AZ,54,continued,,False
AZ,56,continued,,False
AZ,61,continued,,False
AZ,62,continued,,False
AZ,71,continued,,False
AZ,72,continued,,False
AZ,81,continued,,False
AZ,92,continued,,False
AR,11,continued,0.794,True
AR,21,continued,0.283,True
AR,22,continued,0.441,True
AR,23,continued,0.331,True
AR,31,continued,0.482,True
AR,42,continued,0.659,True
AR,44,continued,0.929,True
AR,48,continued,0.851,True
AR,51,continued,0.471,True
AR,52,continued,0.658,True
AR,53,continued,0.601,True
AR,54,continued,0.263,True
AR,56,continued,0.447,True
AR,61,continued,0.602,True
AR,62,continued,0.606,True
AR,71,continued,0.752,True
AR,72,continued,0.462,True
AR,81,continued,0.937,True
AR,92,continued,0.892,True
CA,11,continued,0.458,True
CA,21,continued,0.343,True
CA,22,continued,0.406,True
CA,23,continued,0.496,True
CA,31,continued,0.586,True
CA,42,continued,0.554,True
CA,44,continued,0.675,True
CA,48,continued,0.754,True
CA,51,continued,0.257,True
CA,52,continued,0.341,True
CA,53,continued,0.557,True
CA,54,continued,0.6,True
CA,56,continued,0.772,True
CA,61,continued,0.776,True
CA,62,continued,0.518,True
CA,71,continued,0.698,True
CA,72,continued,0.456,True
